lat,lon,area_steradians
-4.5,190.5,0.00030367453155184137
-4.5,191.5,0.00030367453155184137
-4.5,192.5,0.00030367453155184137
-4.5,193.5,0.00030367453155184137
-4.5,194.5,0.00030367453155184137
-4.5,195.5,0.00030367453155184137
-4.5,196.5,0.00030367453155184137
-4.5,197.5,0.00030367453155184137
-4.5,198.5,0.00030367453155184137
-4.5,199.5,0.00030367453155184137
-4.5,200.5,0.00030367453155184137
-4.5,201.5,0.00030367453155184137
-4.5,202.5,0.00030367453155184137
-4.5,203.5,0.00030367453155184137
-4.5,204.5,0.00030367453155184137
-4.5,205.5,0.00030367453155184137
-4.5,206.5,0.00030367453155184137
-4.5,207.5,0.00030367453155184137
-4.5,208.5,0.00030367453155184137
-4.5,209.5,0.00030367453155184137
-4.5,210.5,0.00030367453155184137
-4.5,211.5,0.00030367453155184137
-4.5,212.5,0.00030367453155184137
-4.5,213.5,0.00030367453155184137
-4.5,214.5,0.00030367453155184137
-4.5,215.5,0.00030367453155184137
-4.5,216.5,0.00030367453155184137
-4.5,217.5,0.00030367453155184137
-4.5,218.5,0.00030367453155184137
-4.5,219.5,0.00030367453155184137
-4.5,220.5,0.00030367453155184137
-4.5,221.5,0.00030367453155184137
-4.5,222.5,0.00030367453155184137
-4.5,223.5,0.00030367453155184137
-4.5,224.5,0.00030367453155184137
-4.5,225.5,0.00030367453155184137
-4.5,226.5,0.00030367453155184137
-4.5,227.5,0.00030367453155184137
-4.5,228.5,0.00030367453155184137
-4.5,229.5,0.00030367453155184137
-4.5,230.5,0.00030367453155184137
-4.5,231.5,0.00030367453155184137
-4.5,232.5,0.00030367453155184137
-4.5,233.5,0.00030367453155184137
-4.5,234.5,0.00030367453155184137
-4.5,235.5,0.00030367453155184137
-4.5,236.5,0.00030367453155184137
-4.5,237.5,0.00030367453155184137
-4.5,238.5,0.00030367453155184137
-4.5,239.5,0.00030367453155184137
-4.5,240.5,0.00030367453155184137
-4.5,241.5,0.00030367453155184137
-4.5,242.5,0.00030367453155184137
-4.5,243.5,0.00030367453155184137
-4.5,244.5,0.00030367453155184137
